Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-28-2022  1:04PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  REU.ngd
output file: REU_pad.csv
Part type:   xc2c384
Speed grade: -7
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P72,GND,,GND,,,,,,,,,,
P73,,VCCIO-UNUSED,VCCIO,,,,,,,,,,
P74,KPR,,I/O,,,3,,,,,,,
P75,KPR,,I/O,,,3,,,,,,,
P76,KPR,,I/O,,,3,,,,,,,
P77,KPR,,I/O,,,3,,,,,,,
P78,KPR,,I/O,,,3,,,,,,,
P79,KPR,,I/O,,,3,,,,,,,
P80,KPR,,I/O,,,3,,,,,,,
P81,KPR,,I/O,,,3,,,,,,,
P82,KPR,,I/O,,,3,,,,,,,
P83,KPR,,I/O,,,3,,,,,,,
P84,,VCC,VCC,,,,,,,,,,
P85,KPR,,I/O,,,3,,,,,,,
P86,KPR,,I/O,,,3,,,,,,,
P87,KPR,,I/O,,,3,,,,,,,
P88,KPR,,I/O,,,3,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,KPR,,I/O,,,3,,,,,,,
P92,KPR,,I/O,,,3,,,,,,,
P93,,VCCIO-UNUSED,VCCIO,,,,,,,,,,
P94,KPR,,I/O,,,4,,,,,,,
P95,KPR,,I/O,,,4,,,,,,,
P96,KPR,,I/O,,,4,,,,,,,
P97,KPR,,I/O,,,4,,,,,,,
P98,KPR,,I/O,,,4,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,nIRQ,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P101,RA<8>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P102,RA<7>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P103,RA<6>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P104,nRAS,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P105,nDMA,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P106,nWE,I/O,I/O,BIDIR,LVCMOS18,4,,FAST,,,,
P107,A<0>,I/O,I/O,BIDIR,LVCMOS18,4,,FAST,,,,
P108,GND,,GND,,,,,,,,,,
P109,,VCCIO-1.8,VCCIO,,,,,,,,,,
P110,A<8>,I/O,I/O,BIDIR,LVCMOS18,4,,FAST,,,,
P111,A<9>,I/O,I/O,BIDIR,LVCMOS18,4,,FAST,,,,
P112,RA<0>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P113,RA<1>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P114,RA<2>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P115,RA<3>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P116,nRWE,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P117,nCAS,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P118,RA<9>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P119,RA<4>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P120,RA<5>,O,I/O,OUTPUT,LVCMOS18,4,,FAST,,,,
P121,KPR,,I/O,,,4,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,KPR,,I/O,,,4,,,,,,,
P125,KPR,,I/O,,,4,,,,,,,
P126,KPR,,I/O,,,4,,,,,,,
P127,,VCCIO-1.8,VCCIO,,,,,,,,,,
P128,KPR,,I/O,,,4,,,,,,,
P129,KPR,,I/O,,,2,,,,,,,
P130,KPR,,I/O,,,2,,,,,,,
P131,KPR,,I/O,,,2,,,,,,,
P132,KPR,,I/O,,,2,,,,,,,
P133,KPR,,I/O,,,2,,,,,,,
P134,KPR,,I/O,,,2,,,,,,,
P135,KPR,,I/O,,,2,,,,,,,
P136,KPR,,I/O,,,2,,,,,,,
P137,D<6>,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P138,D<5>,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P139,BA,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P140,D<2>,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P141,,VCCIO-1.8,VCCIO,,,,,,,,,,
P142,D<1>,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P143,D<0>,I/O,I/O/GSR,BIDIR,LVCMOS18,2,,FAST,,,,
P144,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


